pl_name,hostname,default_flag,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
BD+14 4559 b,BD+14 4559,1,Radial Velocity,2009,268.94000000,0.99000000,-0.99000000,0,0.780000,0.050000,-0.050000,0,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000,0.0846000,-0.0844000,9.7800000,0.0300000,-0.0300000,7.3360000,0.0230000,-0.0230000,9.3510800,0.0002530,-0.0002530
BD+15 2375 b,BD+15 2375,1,Radial Velocity,2016,153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.0450000,45.0380000,-45.0380000,10.4100000,0.0100000,-0.0100000,7.7180000,0.0170000,-0.0170000,9.9918000,0.0004580,-0.0004580
BD+15 2940 b,BD+15 2940,1,Radial Velocity,2013,137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.4200000,6.4400000,-6.4400000,9.0100000,0.0300000,-0.0300000,6.5250000,0.0160000,-0.0160000,8.7178000,0.0002910,-0.0002910
BD+20 2457 b,BD+20 2457,1,Radial Velocity,2009,379.63000000,2.01000000,-2.01000000,0,1.450000,,,0,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,189.9250000,-189.9250000,9.7430000,0.0080000,-0.0080000,6.4200000,0.0210000,-0.0210000,9.2268400,0.0004420,-0.0004420
BD+20 2457 c,BD+20 2457,1,Radial Velocity,2009,621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,189.9250000,-189.9250000,9.7430000,0.0080000,-0.0080000,6.4200000,0.0210000,-0.0210000,9.2268400,0.0004420,-0.0004420
BD+20 274 b,BD+20 274,1,Radial Velocity,2012,578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.5100000,80.5350000,-80.5350000,9.3670000,0.0080000,-0.0080000,6.1690000,0.0270000,-0.0270000,8.9161300,0.0004680,-0.0004680
BD+20 594 b,BD+20 594,1,Transit,2016,41.68550000,0.00300000,-0.00300000,0,,,,,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000,1.2570000,-1.2400000,10.8490000,0.0120000,-0.0120000,9.3680000,0.0180000,-0.0180000,10.8644000,0.0002490,-0.0002490
BD+45 564 b,BD+45 564,1,Radial Velocity,2021,307.88000000,1.47000000,-1.47000000,0,0.830000,0.040000,-0.040000,0,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.6220000,0.1919000,-0.1905000,9.6700000,0.0300000,-0.0300000,7.5570000,0.0240000,-0.0240000,9.4126600,0.0002550,-0.0002550
BD+48 738 b,BD+48 738,1,Radial Velocity,2011,392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.4930000,43.8490000,-43.8490000,9.1390000,0.0040000,-0.0040000,5.9040000,0.0180000,-0.0180000,8.6556900,0.0003650,-0.0003650
BD+48 740 b,BD+48 740,1,Radial Velocity,2018,733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.5890000,21.5335000,-21.5335000,8.6900000,0.0300000,-0.0300000,5.6450000,0.0170000,-0.0170000,8.2644900,0.0007610,-0.0007610
