designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
"Gaia DR3 1842749950210169216",1842749950210169216,313.95802288579983,24.45864949058622,2.116823937669302,13.60096537851318,11.620499671908732,0.9516374,9.019008,1.2960243,-28.59127,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1698933657497238784",1698933657497238784,219.85618064896227,73.12559286377562,2.9320028520465637,-27.90476099226085,30.745563861516636,1.0098209,9.019019,1.2445164,8.579777,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4896.883,2.8938,-0.0886,333.8017,0.3347,0.2629,0.1386
"Gaia DR3 2013737580431881728",2013737580431881728,348.9216704764258,59.91563346637619,25.122051356896648,-65.00578139987883,-111.4167840735411,0.95269376,9.019033,1.0862198,-11.529535,"VARIABLE",0,true,true,false,true,false,false,true,,,,,,,
"Gaia DR3 354556632688791552",354556632688791552,37.31267731946421,48.7439078520206,0.7478507583436194,2.829247979716155,1.4772500653740948,1.0571487,9.01904,3.2911959,-33.031155,"VARIABLE",0,true,true,false,true,false,false,true,,,,,,,
"Gaia DR3 1805703726981774976",1805703726981774976,306.1176005919072,15.62225605652384,1.7580227025348074,-2.1618935674628057,-2.1727556705133932,0.9462472,9.0190525,1.5232449,-45.953896,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 182700079050989824",182700079050989824,80.60961577865312,33.859799871188095,1.0400244217781127,4.497508820028381,-9.462291907550899,1.1762329,9.019064,2.0717402,12.577323,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4665.8193,1.7978,0.0758,929.5054,2.2106,1.6061,0.8477
"Gaia DR3 3937274967821908096",3937274967821908096,195.62030875155722,15.880733976521178,2.029294352697856,-3.843560345925521,4.440344704299304,0.9731941,9.019078,1.1905289,-43.79701,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4925.386,2.6946,-0.0906,468.7959,0.2312,0.1826,0.0961
"Gaia DR3 1980013084920030208",1980013084920030208,330.72703175936874,50.89292737592022,0.5488457144991324,-1.9166734331723936,-1.437609539273496,0.90096277,9.019086,0.53904533,-27.645971,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 4420751975974211712",4420751975974211712,231.28474607198325,1.7541138604965627,3.19417859780605,11.385492666825076,-6.408122184091476,4.4344997,9.019096,1.1844053,17.319584,"NOT_AVAILABLE",1,true,true,false,false,false,false,true,4725.3706,2.6774,-0.5154,314.7825,0.0577,0.0453,0.024
"Gaia DR3 4503241912435545856",4503241912435545856,271.2140179967853,18.36374441405035,2.59752181370968,1.9441890099072217,7.725215651754366,3.2526562,9.019108,1.349658,-32.585167,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 514128377278284928",514128377278284928,38.92547324453764,63.04673304226514,2.238380860380157,-10.285504981181317,5.243683163785259,1.0587908,9.019117,1.5139027,-25.542057,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4808.0576,2.5292,0.1027,416.0156,0.9057,0.6918,0.3628
"Gaia DR3 1861905156455697664",1861905156455697664,306.7831356253318,31.320732259734438,2.095476147837472,1.0363729556818868,-2.3720945207348363,0.9489665,9.019121,-0.04623604,-19.11356,"NOT_AVAILABLE",0,true,true,true,false,false,false,true,,,,,,,
"Gaia DR3 1649456046564319872",1649456046564319872,246.96418038615562,68.32893303243947,4.495476095261079,-14.51306145498588,-2.994882858637442,2.7313912,9.019173,0.9276533,-30.71192,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1227430842071645184",1227430842071645184,217.33621640913506,13.293883313983375,3.0974775560554404,25.123545702958438,-10.644046039689547,26.715624,9.019181,0.99876404,-23.00501,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 2062517856186967296",2062517856186967296,303.86500400221473,40.50236846119726,1.2107278554328877,1.726274657054712,-1.1244939235294893,1.7126871,9.019181,0.04270649,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,9976.422,3.5039,-0.9681,732.0128,0.2416,0.2321,0.1238
"Gaia DR3 1390605510163994624",1390605510163994624,232.10684001240455,41.375062753168564,7.5594264155084865,25.207189046900346,10.046542514108106,0.91765434,9.019181,0.728631,-30.662043,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5938.4233,4.1115,-0.2944,131.8521,0.0012,0.001,5.0E-4
"Gaia DR3 2057669765807218432",2057669765807218432,306.36071934722196,36.54663337004004,0.9175797350300229,7.888657421047985,1.1506659398357078,0.9742041,9.019184,2.0646973,4.631619,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 3632552497073401728",3632552497073401728,204.81364355180816,-5.690253898311444,3.219012906846368,-5.57419458152361,3.984767332624374,1.1479752,9.019189,0.11171913,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1859134765116571136",1859134765116571136,311.456424445824,30.44613761113416,0.8678086802275203,-2.966735576438841,-5.0587579735079995,1.1607606,9.019202,2.8982086,-23.722265,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 1312589288953960320",1312589288953960320,249.20623127905804,31.09481354575771,37.397582003040085,340.89376177973736,-447.8145425030617,1.0372624,9.019203,1.4502487,-10.6595745,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,4415.629,4.5795,0.1572,26.7593,1.0E-4,1.0E-4,0.0
"Gaia DR3 2848703549461894784",2848703549461894784,3.904452947738775,23.077169222813488,1.7140245355859292,-4.199799205678505,-29.766546961337312,1.001641,9.019209,1.5089855,-18.943453,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 179964627260871296",179964627260871296,66.39975899244969,40.432964944733754,7.68764644776035,6.160216854999731,-39.273289605362365,0.9343104,9.019233,0.62754154,-35.777893,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6306.1377,4.0505,-0.7345,129.6054,0.0056,0.0048,0.0026
"Gaia DR3 2208516030931826560",2208516030931826560,346.7002411420288,64.33573709229529,3.0539677246634325,8.490387079027927,-2.5689323623427947,0.8454247,9.019236,0.1814003,-31.650633,"NOT_AVAILABLE",0,true,true,true,false,false,true,true,10076.301,4.0024,-1.3497,342.7029,0.4295,0.409,0.2183
"Gaia DR3 1565372681536610432",1565372681536610432,200.00401872541016,55.82194303714161,5.3724435340807775,-22.980800034681714,7.960342545363888,0.9715633,9.019249,0.6080303,-0.65054876,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6388.388,3.9961,-0.083,185.2035,0.001,8.0E-4,5.0E-4
"Gaia DR3 978447258596250496",978447258596250496,105.49056879566402,47.15161624836128,3.5795984338792026,1.1926079698747727,-20.00080966454386,1.1479433,9.019267,0.49777794,10.47997,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,7017.749,3.8427,-0.6638,261.5865,0.1262,0.1125,0.0606
"Gaia DR3 352629326243788544",352629326243788544,32.21549138583179,44.95304128383577,1.2772084489607944,-14.268211389797358,-9.496470929250572,0.9352769,9.01927,1.5552979,-78.73613,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 997732413373181568",997732413373181568,97.69155135982191,55.74631375730574,1.9187879118407114,-4.486611697063213,-16.923955294934178,0.9596951,9.01928,1.1805058,15.030983,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4681.2207,2.2741,-0.5998,515.2769,4.0E-4,3.0E-4,2.0E-4
"Gaia DR3 1114535633834164352",1114535633834164352,94.05033525650623,74.26515643223046,0.5586327700998404,0.3970501522059616,-1.315906221401828,1.3123662,9.019312,2.3890252,-30.706486,"NOT_AVAILABLE",2,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 4294989290562445312",4294989290562445312,294.25440089907255,7.343900991076421,1.6341604176316997,21.05801130244822,-1.0866987981999578,0.9647796,9.019313,1.5972853,-84.44907,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4481.166,2.0839,-0.0414,649.3581,0.7483,0.5606,0.2931
"Gaia DR3 4320256754991005312",4320256754991005312,289.4797705327238,14.314207974086088,1.692064799411977,7.926937396902662,0.4329178825308588,0.9350972,9.019313,1.4181919,-4.189048,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5103.315,2.5799,-0.1985,533.6664,0.9756,0.7614,0.4061
"Gaia DR3 4355898317698365056",4355898317698365056,245.11400026739494,-4.953753088484192,2.730431280376608,-12.545880348987705,-15.58458263773803,1.2442241,9.01933,1.2967987,-95.69514,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5017.888,2.8496,-0.1672,385.29,0.5928,0.4661,0.2474
"Gaia DR3 4463066925784897920",4463066925784897920,250.3404774763318,16.932153560071075,2.566291076780756,22.244466191292727,3.6245983328132896,1.5381149,9.019331,1.2842093,,"NOT_AVAILABLE",2,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 249120236457195136",249120236457195136,52.28652337415276,47.78518276303864,5.407056684195725,17.892477499099908,-33.97966588337901,2.1163752,9.019345,0.74528027,,"NOT_AVAILABLE",3,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 2026885639252990080",2026885639252990080,298.6274689385522,26.227770706908935,2.915055544551105,-4.71424062220645,-9.999413236861402,0.8992973,9.019358,0.11387825,11.063379,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,9541.542,4.0958,-0.1675,352.6228,0.23,0.2195,0.1167
"Gaia DR3 1068589138851348480",1068589138851348480,137.6268333780934,65.83337147068139,3.0153032479530077,-18.809068914872814,-18.67722948745792,1.2408082,9.019363,0.22063541,7.457482,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,7966.438,3.8755,-0.7543,331.4861,0.0096,0.0089,0.0048
"Gaia DR3 358117744692775040",358117744692775040,31.832289868536943,48.866969634248754,6.39537339037794,0.3344519621451676,18.369858637930395,1.1792395,9.019437,0.7027035,3.8549876,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6045.041,4.0104,-0.5202,155.7139,0.0182,0.0155,0.0084
"Gaia DR3 2000735580561754624",2000735580561754624,333.82620404438086,50.06304058236246,2.4080794198775197,-3.331665061373359,-0.4440702026054949,1.0045583,9.019454,1.4193239,-15.532547,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4671.414,2.6104,0.3337,408.4535,0.4793,0.3661,0.1895
"Gaia DR3 573415590428281344",573415590428281344,9.280603178401618,84.22635423621928,1.5899184657746823,3.479972049893709,0.15668596605068436,0.91416395,9.019492,1.5285978,-33.290173,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 2070869682085209472",2070869682085209472,306.8040062369584,44.95174542736478,0.891621126934701,-3.1564328075678576,-6.6211074196133195,1.0208769,9.019498,2.449822,-22.919413,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 3447795755760042880",3447795755760042880,83.66943109414309,31.033230746463275,1.0982866765432733,0.17715514962943935,-9.323611137570522,1.1115253,9.019505,1.7625952,32.89666,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,4510.3457,1.9836,0.042,781.3101,1.2237,0.9048,0.4737
"Gaia DR3 1990248747890141824",1990248747890141824,344.46158578229307,52.70736346823161,1.5158121497369095,0.44891910713963856,0.008298606535323877,0.9978072,9.019507,0.20683289,,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,7967.8813,3.3736,-2.0804,604.3784,0.0,0.0,0.0
"Gaia DR3 2199119570212635520",2199119570212635520,329.62796577216625,57.53610193899522,0.7168559704484576,-1.078385058179302,-4.004937831753069,1.0322883,9.019534,2.1740007,-43.192165,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,4470.389,1.4673,0.062,1361.0234,2.2753,1.6262,0.856
"Gaia DR3 3947383774648350592",3947383774648350592,185.77680700377414,19.14391299418671,2.229950172581315,-0.7024917887987426,-4.248216348681751,1.0115043,9.019582,1.2761068,15.104018,"NOT_AVAILABLE",0,false,false,false,false,false,false,true,,,,,,,
"Gaia DR3 3632755636142044672",3632755636142044672,206.9848101392857,-5.59802226850845,4.1786485675692076,-59.53262513356567,-12.462071502378857,1.1587014,9.01959,1.0847483,-28.759861,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
"Gaia DR3 3442943954543437184",3442943954543437184,84.24229806430257,29.313672968936945,3.6443991023679887,-3.9130758541746182,-14.713424610035265,0.95997405,9.01959,0.6694498,10.16148,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,9468.115,3.9598,-0.0142,269.84,1.3772,1.2564,0.6753
"Gaia DR3 181221643929004672",181221643929004672,79.56067465159622,33.45208895290046,1.8320541704538604,-1.753637034902742,-4.530474867923373,1.1416597,9.019596,0.4722042,,"VARIABLE",0,true,true,false,true,false,true,true,9650.705,3.5619,0.0198,551.4739,0.995,0.9259,0.4972
"Gaia DR3 328538751601510912",328538751601510912,35.92458076401524,37.10249871202523,2.334983505180491,14.446876294280237,-10.007510538750086,1.1225549,9.019613,-0.015292168,9.205374,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,9799.96,3.8954,-0.7599,460.7815,0.0261,0.0251,0.0134
"Gaia DR3 1000141958746113792",1000141958746113792,102.7778252412463,56.025423381165375,9.986244929380259,-25.14209612483532,-64.14362380108494,4.7908754,9.019614,0.7333956,32.19143,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,5976.951,4.2634,-0.3604,100.1469,0.0205,0.0174,0.0094
"Gaia DR3 1703823323144895744",1703823323144895744,237.02186549758707,75.28590240086339,8.977131623369557,-33.18200637642062,33.83364111558531,0.91516906,9.019622,0.62547016,-24.001205,"NOT_AVAILABLE",0,true,true,false,false,false,true,true,6394.325,4.2431,-0.4532,111.3185,0.0432,0.0375,0.0203
"Gaia DR3 919577516259275136",919577516259275136,120.27950844332038,39.37008417685308,1.183176927983181,-7.94223697424968,3.4790801587470197,1.1822058,9.0196295,1.2721796,-32.62349,"NOT_AVAILABLE",0,false,false,false,false,false,true,true,4546.8594,1.9959,-0.3403,869.8193,0.0387,0.0298,0.0157
"Gaia DR3 587792319139786752",587792319139786752,143.1686404342353,7.563953683990639,1.5018973248649206,-0.3637279483355872,-10.598665633267192,0.9111538,9.019635,1.3119259,-35.328873,"NOT_AVAILABLE",0,true,true,false,false,false,false,true,,,,,,,
